name,default_code,list_price,standard_price,type,sale_ok,purchase_ok,active,available_in_pos,to_weight,is_published,website_sequence,categ_id,supplier_id,product_tag_ids,public_categ_ids,pos_categ_ids,taxes_id,supplier_taxes_id,description_sale,description_purchase
FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E,01951,869.0,521.66,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E para venta,Producto FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E para compra
AMERICANO BOLERO COOL MARKET SBS 430 BLANCO,02437,589.0,371.5,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto AMERICANO BOLERO COOL MARKET SBS 430 BLANCO para venta,Producto AMERICANO BOLERO COOL MARKET SBS 430 BLANCO para compra
ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL,08380,55.0,41.98,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL para venta,Producto ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL para compra
ASPIRADOR LIMPIACRISTALES,08058,35.0,27.63,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto ASPIRADOR LIMPIACRISTALES para venta,Producto ASPIRADOR LIMPIACRISTALES para compra
BASCULA DE COCINA DIGITAL COOK CONTROL,04236,19.0,12.61,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto BASCULA DE COCINA DIGITAL COOK CONTROL para venta,Producto BASCULA DE COCINA DIGITAL COOK CONTROL para compra
SURFACE PRECISION 10600 SMART HEALTHY PRO DARK GREY,04265,40.0,33.53,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto SURFACE PRECISION 10600 SMART HEALTHY PRO DARK GREY para venta,Producto SURFACE PRECISION 10600 SMART HEALTHY PRO DARK GREY para compra
BATIDORA MANO POWER retro azul 1200w,03938,30.0,18.26,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto BATIDORA MANO POWER retro azul 1200w para venta,Producto BATIDORA MANO POWER retro azul 1200w para compra
BATIDORA MANO POWER retro rojo 1200w,03939,30.0,18.26,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto BATIDORA MANO POWER retro rojo 1200w para venta,Producto BATIDORA MANO POWER retro rojo 1200w para compra
BATIDORA MANO POWER retro verde 1200w,03945,30.0,18.26,product,True,True,True,True,False,True,10,Electrodomésticos,,Cecotec,Electrodomésticos/CECOTEC,Electrodomésticos,21% IVA,21% IVA,Producto BATIDORA MANO POWER retro verde 1200w para venta,Producto BATIDORA MANO POWER retro verde 1200w para compra
